CHROMATOGRAM,
ba5_1000x_lc1_20230323203106.raw,
Data points: 3075,
Time,Intensity
0.00368508,0
0.008326716,0
0.01148285,0
0.01380573,0
0.016130733,0
0.018453649,0
0.0207786,0
0.0231015,0
0.025424364,0
0.027749331,0
0.030072299,0
0.032397234,0
0.034720114,0
0.03704305,0
0.039368017,0
0.041690949,0
0.044013849,0
0.046338832,0
0.048661716,0
0.050986683,0
0.053309615,0
0.055632515,0
0.057957482,0
0.060280398,0
0.062605348,0
0.064928265,0
0.067251181,0
0.069576116,0
0.071899016,0
0.07422405,0
0.07654695,0
0.078869866,0
0.081194817,0
0.083517733,0
0.08584268,0
0.08816558,0
0.092665616,0
0.094988516,0
0.097311381,0
0.099636383,0
0.10195925,0
0.10428423,0
0.10660715,0
0.10893007,0
0.11125508,0
0.11357795,0
0.11590296,0
0.11822583,0
0.12054873,0
0.1228737,0
0.12519663,0
0.12751952,0
0.12984451,0
0.1321674,0
0.1344924,0
0.13681528,0
0.13913818,0
0.14146315,0
0.14378606,0
0.14611105,0
0.14843393,0
0.15075687,0
0.15308185,0
0.15540473,0
0.1577297,0
0.16005263,0
0.16237553,0
0.16470052,0
0.16702342,0
0.16934837,0
0.17167127,0
0.17617547,0
0.17850042,0
0.18082331,0
0.18314623,0
0.18547122,0
0.1877941,0
0.19011905,0
0.19244195,0
0.19476485,0
0.1970899,0
0.19941277,0
0.20173776,0
0.20406066,0
0.20638355,0
0.20870852,0
0.21103142,0
0.21335641,0
0.21567931,0
0.21800225,0
0.22032721,0
0.22265011,0
0.224973,0
0.227298,0
0.22962085,0
0.23194583,0
0.23426876,0
0.23659168,0
0.23891668,0
0.24123955,0
0.24356247,0
0.24588741,0
0.24821031,0
0.25053532,0
0.2528582,0
0.25518115,0
0.25968318,0
0.26200815,0
0.26433105,0
0.26665606,0
0.26897895,0
0.27130188,0
0.27362685,0
0.27594968,0
0.2782747,0
0.28059763,0
0.28292047,0
0.28524545,0
0.2875684,0
0.28989338,0
0.29221632,0
0.2945392,0
0.2968642,0
0.29918703,0
0.30150993,0
0.30383495,0
0.30615787,0
0.30848285,0
0.31080573,0
0.31312865,0
0.31545362,0
0.31777648,0
0.3201015,0
0.32242441,0
0.32474732,0
0.3270723,0
0.32939521,0
0.33172016,0
0.33404308,0
0.33636593,0
0.33869092,0
0.34318887,0
0.34551383,0
0.34783672,0
0.35015963,0
0.35248458,0
0.35480748,0
0.35713248,0
0.3594554,0
0.36177831,0
0.36410328,0
0.36642622,0
0.36875115,0
0.37107405,0
0.37339695,0
0.37572193,0
0.37804487,0
0.38036983,0
0.38269271,0
0.38501563,0
0.3873406,0
0.38966346,0
0.39198637,0
0.39431138,0
0.39663432,0
0.39895925,0
0.40128217,0
0.40360508,0
0.40593005,0
0.40825293,0
0.41057793,0
0.41290085,0
0.41522375,0
0.41754873,0
0.41987158,0
0.42219658,0
0.42669453,0
0.42901742,0
0.43134032,0
0.43366528,0
0.43598818,0
0.43831317,0
0.44063603,0
0.44295893,0
0.44528392,0
0.44760682,0
0.44993183,0
0.45225475,0
0.45457765,0
0.45690261,0
0.45922548,0
0.4615484,0
0.4638734,0
0.46619631,0
0.46852128,0
0.47084418,0
0.4731671,0
0.47549205,0
0.47781495,0
0.48013997,0
0.48246287,0
0.48478577,0
0.48711075,0
0.48943365,0
0.49175862,0
0.49408152,0
0.4964044,0
0.49872935,0
0.50105228,0
0.50337516,0
0.5057002,0
0.5102043,0
0.51252927,0
0.51485217,0
0.5171751,0
0.51950008,0
0.52182298,0
0.52414795,0
0.52647083,0
0.52879375,0
0.53111873,0
0.53344165,0
0.53576663,0
0.53808955,0
0.54041241,0
0.54273743,0
0.54506032,0
0.54738528,0
0.54970817,0
0.55203107,0
0.55435608,0
0.55667898,0
0.55900396,0
0.56132692,0
0.56364978,0
0.56597473,0
0.56829762,0
0.57062055,0
0.57294555,0
0.57526843,0
0.57759342,0
0.57991631,0
0.5822392,0
0.58456418,0
0.58688915,0
0.58921207,0
0.59371,0
0.59603288,0
0.59835785,0
0.60068075,0
0.60300363,0
0.60532861,0
0.60765155,0
0.60997653,0
0.6122994,0
0.61462233,0
0.61694732,0
0.6192702,0
0.62159516,0
0.62391808,0
0.626241,0
0.62856598,0
0.63088888,0
0.63321178,0
0.63553673,0
0.63785963,0
0.64018463,0
0.64250755,0
0.64483045,0
